object,telescope,filter,aperture,utc,mjd,mag,mag_err,zp_mag,zp_mag_err,phase_angle,heliocentric_au,true_anomaly,geocentric_au
C/2017K2(PANSTARRS)MPC109591,ASAS-SN,G_ASASSN,16,2018-04-08 08:06:47.727,58216.33805239992,17.761617154459003,0.18835889813887416,17.917257222145068,,,,,
C/2017K2(PANSTARRS)MPC109591,ASAS-SN,G_ASASSN,16,2018-04-18 07:47:58.877,58226.324986999854,17.576467906516573,0.19582615348788196,17.68989659387265,,,,,
C/2017K2(PANSTARRS)MPEC2018-HA5,ASAS-SN,G_ASASSN,16,2018-05-05 06:35:44.716,58243.27482309984,17.6585603370678,0.18449268440539054,17.836717882918315,,,,,
C/2017K2(PANSTARRS)MPC110495,ASAS-SN,G_ASASSN,16,2018-06-13 06:30:23.109,58282.27110080002,18.211134880813354,0.18756861370390254,18.37133988008901,,,,,
C/2017K2(PANSTARRS)MPC110495,ASAS-SN,G_ASASSN,16,2018-07-17 06:40:25.084,58316.2780681001,18.06509248037926,0.1620900264356245,18.383807168453025,,,,,
C/2017K2(PANSTARRS)MPC110495,ASAS-SN,G_ASASSN,16,2018-09-13 04:41:07.345,58374.195223900024,18.240379070589935,0.17095248365866803,18.50129595447697,,,,,
C/2017K2(PANSTARRS)MPC111769,ASAS-SN,G_ASASSN,16,2018-10-04 03:08:26.192,58395.13085869979,17.64918845128292,0.15975551405621893,17.98365422952776,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2018-10-27 02:12:41.829,58418.09215079993,17.725842881276918,0.2016469549448764,17.80746913170884,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2018-10-29 02:05:28.879,58420.08713980019,16.523292378065484,0.06656081598296365,17.80835120530609,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2018-11-06 01:32:38.224,58428.06433130009,18.032344272371045,0.18063872899778916,18.233422521096916,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-01-28 12:34:58.544,58511.52428869996,17.588382437034007,0.19322542308084534,17.716327190605742,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-03-26 13:33:43.560,58568.56508750003,17.774630969730726,0.20495563504421563,17.838586732285762,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-03-28 12:03:42.998,58570.50258099986,17.840168209859808,0.20719169321865205,17.892342781708635,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-04-04 12:17:10.121,58577.511922699865,17.40781444336775,0.11262377125944202,18.12184469966006,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-04-05 07:58:18.909,58578.3321632999,17.59471892093679,0.1633294203746319,17.905163289635134,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-04-22 10:11:14.735,58595.42447610013,17.091202246215047,0.19973059409098315,17.183196182510585,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-04-27 06:21:10.175,58600.264701100066,17.426591661767922,0.12294898237044513,18.045384736309217,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-04-28 06:26:49.148,58601.26862439979,17.67803263277743,0.13815013674688348,18.170259755733746,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-04-29 07:16:32.177,58602.30315019982,17.867364460592494,0.14404371578244907,18.314234091396216,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-05-01 09:36:25.488,58604.40029500006,17.620351927107095,0.09612587433486722,18.50635659027265,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-05-02 11:29:25.348,58605.478765599895,17.868750745291816,0.13191395919329332,18.411129278058873,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-05-06 09:08:22.027,58609.38081050012,17.559197688058088,0.08818812136043898,18.538777881144686,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-05-09 09:10:40.794,58612.382416599896,17.521150208470658,0.08823792787661999,18.500117377125534,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-05-12 09:14:53.782,58615.38534469996,17.584506559944536,0.12962782023139396,18.145866435307486,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-05-14 09:18:17.686,58617.38770470023,17.309781894656194,0.1397900082348699,17.789196989280377,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-05-21 09:43:55.969,58624.40550890006,17.514362769158826,0.18479462344941638,17.690744861492206,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-05-22 06:02:15.475,58625.25156799983,17.42087697023285,0.18135135147921144,17.617680400008435,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-05-23 08:18:36.207,58626.34625239996,18.113605239295236,0.15581698709961414,18.475173653812348,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-05-24 07:14:30.751,58627.30174480006,17.38985234068845,0.16571606766252037,17.684546213446673,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-05-27 10:44:46.585,58630.44776140014,16.8045559134167,0.19919551531771867,16.89946244295306,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-05-29 08:49:11.464,58632.36749379989,17.35767962087077,0.08924760083587527,18.32429366619772,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-06-01 08:22:15.698,58635.348792800214,17.658904943878298,0.11412860088461031,18.358524131590205,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-06-01 08:22:15.698,58635.348792800214,17.392842796942812,0.09512714984614778,18.290187005689976,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-06-02 12:17:57.054,58636.51246589981,17.495731908780446,0.09222822245966789,18.426677733478027,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-06-02 12:17:57.866,58636.512475300115,17.277736415432358,0.08403132431518831,18.309738816271736,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-06-05 07:59:22.379,58639.33289790014,17.37609561703873,0.11001983940166339,18.115523521171863,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-06-06 10:28:18.955,58640.43633050006,17.27701926338918,0.13650388283955453,17.78226217164424,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-06-08 07:40:47.248,58642.31999129988,17.412145974740824,0.09314356511226883,18.332369253703302,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-06-09 07:07:10.102,58643.296644700225,17.21086898009561,0.09730709125971,18.08361317425105,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-06-09 09:44:09.136,58643.405661299825,17.500584852967034,0.09088377314871533,18.447474401270846,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-06-10 13:51:41.305,58644.5775613999,16.908920663989445,0.0679202529018905,18.172027848936235,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-06-11 08:43:19.782,58645.36342340009,17.61171552620082,0.14063857891368753,18.084559773467966,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-06-11 14:01:30.596,58645.5843818998,11.821178290590812,0.005677905035145544,15.77881340006038,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-06-14 13:14:45.491,58648.551915400196,17.635358648426426,0.14299590129261064,18.090155095691177,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-06-18 12:13:11.078,58652.50915599987,17.083741962997962,0.1595888974717513,17.41934069781229,,,,,
C/2017K2(PANSTARRS)MPC112391,ASAS-SN,G_ASASSN,16,2019-06-19 09:59:15.179,58653.416147899814,17.086174667502327,0.11438942491929446,17.78331539672499,,,,,
