object,telescope,filter,aperture,utc,mjd,mag,mag_err,zp_mag,zp_mag_err,phase_angle,heliocentric_au,true_anomaly,geocentric_au
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2017-10-07 03:13:35.132,58033.134434400126,15.74704161180964,0.1875648273999178,15.907268528231931,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2017-10-17 04:54:28.264,58043.20449380018,18.030623340244155,0.14620351501370543,18.461334225985183,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2017-11-17 03:13:06.767,58074.13410610007,17.499326977668638,0.10658796264826782,18.273161995805328,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2017-11-30 00:41:16.751,58087.0286661,17.22102740834175,0.20737490396106034,17.272242334380053,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2018-09-01 05:50:33.294,58362.2434409,16.851269737637725,0.13213336424535074,17.39184392669663,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2019-12-15 19:15:59.432,58832.80277119996,18.04873931154998,0.19016547739318587,18.194015537310342,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2019-12-21 02:11:25.650,58838.091269100085,17.824497914204898,0.19806491756217376,17.92558444118785,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2020-01-05 01:58:39.066,58853.08239659993,16.64519239716797,0.19178893733969798,16.781238935888968,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2020-09-19 14:16:10.641,59111.59456760017,18.168592647695167,0.21659333230958808,18.17258536096424,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2020-10-16 18:47:25.722,59138.78293660004,17.80685902315199,0.18288363694334353,17.994527319446686,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2021-07-21 09:03:24.915,59416.377371700015,16.724190390840896,0.1063437276700202,17.50051611267929,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2021-08-04 12:45:56.117,59430.53189950017,18.725577591012833,0.21588958913993206,18.733103762250476,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2021-08-25 11:21:49.406,59451.473488499876,16.845171566779484,0.18762638947890994,17.00504218393039,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2021-10-15 07:06:29.892,59502.296179300174,17.610233136281273,0.20008716195057594,17.700290496567366,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2022-07-07 10:48:33.532,59767.4503881,16.00895597451582,0.11420481298443386,16.70785037790738,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2022-07-08 10:48:07.128,59768.4500825,15.69352466391597,0.20436856533694286,15.760594844198403,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2022-09-13 10:05:45.361,59835.42066390021,16.528864839317738,0.1641820745845338,16.83365591247294,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2022-09-29 10:15:04.015,59851.427129799966,18.213019045908638,0.184940640203503,18.388543575005617,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2022-10-14 06:25:12.086,59866.26750099985,15.699874103246685,0.1914353713082752,15.83792406159084,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2022-11-02 21:01:39.948,59885.87615679996,16.50309196199536,0.17857397279238635,16.716651981241405,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2023-03-03 02:56:03.065,60006.12225770019,16.663240678409224,0.20537036193534566,16.72500167798345,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2023-03-07 02:53:17.886,60010.120345899835,14.798300282266014,0.13782368206807863,15.293096082431186,,,,,
P/2016A7(PANSTARRS)MPC102098,ASAS-SN,G_ASASSN,16,2023-11-24 00:17:11.910,60272.011943399906,16.64206193715474,0.19741873356573358,16.746696453958265,,,,,
